,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Directors,Authors,Actors_rotten,production_company,Critics_rotten_rating,Critic_rotten_count,Audience_rotten_rating,Audience_rotten_count
863,28441,2046763,/m/06hcv8,Bustin' Loose,1981,,94.0,['English Language'],['United States of America'],"['Action/Adventure', 'Action', 'Comedy']",Oz Scott,"Roger L. Simon, Lonne Elder III, Daryl G. Nickens, Sara V. Finney","Richard Pryor, Cicely Tyson, Robert Christian, Alphonso Alexander, Kia Cooper, Edwin DeLeon, Jimmy Hughes, Edwin Kinter, Tami Luchow, Angel Ramirez, Janet Wong, George Coe, Bill Quinn, Roy Jenson, Fred Carney, Peggy McCay, Luke Andreas, Earl Billings, Michael A. Esler, Paul Gardner, Nick Dimitri, Ben Gerard, Gary Goetzman, Joe D. Jacobs, Paul Mooney, Lee Noblitt, Inez Pedroza, Morgan Roberts, Vern Taylor, Rick Sawaya, Gloria Jewel Waggener, Shila Turna, Jonelle White, Jewell Williams, Sunny Woods",Universal Pictures,60.0,5.0,61.0,4467.0
864,28474,408849,/m/024tb7,Big Fat Liar,2002,52970014.0,88.0,['English Language'],"['United States of America', 'Germany']","['Comedy', 'Family Film', ""Children's/Family"", 'Adventure', 'Slapstick']",Shawn Levy,"Dan Schneider, Karey Kirkpatrick, Brian Robbins","Frankie Muniz, Paul Giamatti, Amanda Bynes, Amanda Detmer, Donald Faison, Sandra Oh, Russell Hornsby, Michael Bryan French, Christine  Tucci, Lee Majors, Sean O'Bryan, Amy Hill, John Cho, Marissa Parker, Matthew Frauman, Don Yesso, Rebecca Corry, Sparkle, Taran Killam, Alexandra Breckenridge, Ned Brower, John Gatins, Andre Rosey Brown, Steven Shenbaum, Jake Miner, Ted Rooney, Marisa Petroro, Randall Newsome, Michelle Griffin, Mike Smith, Andrea Sevilla, Pamela Paulshock, Eric Stabenau, Tracey Cherelle Jones, Pat O'Brien, Brian Turk, Sandy Gimpel, Tim Haldeman, Pat Falls, Timmy Fitzpatrick, Corinne Reilly, Shawn Levy, Dustin Diamond, Bart Myer, Kenan Thompson, Kanan Hooker, Houston Hooker, C.J. Picerni, Jaleel White",Universal Pictures,44.0,94.0,44.0,400127.0
865,28528,2511602,/m/07j_qm,Dr. Dolittle,1998,294456605.0,85.0,['English Language'],['United States of America'],"['Family Film', 'Fantasy Comedy', 'Comedy']",Betty Thomas,"Nat Mauldin, Larry Levin","Eddie Murphy, Oliver Platt, Richard Schiff, Ossie Davis, Peter Boyle, Kristen Wilson, Jeffrey Tambor, Kyla Pratt, Raven-Symoné, Steven Gilborn, Chris Rock, Norm Macdonald, Albert Brooks, Cherie Franklin, Reni Santoni, John Leguizamo, Mark Adair-Rios, Don Calfa, June Christopher, Brian Kwan, Arnold F. Turner, Yule Caise, Kay Yamamoto, L. Peter Callender, Kellye Nakahara-Wallett, Richard Penn, Cliff McLaughlin, John Lafayette, Dari Gerard Smith, Raymond Matthew Mason, Beth Grant, Charles Branklyn, Ming Lo, Karl T. Wright, Phil Proctor, Stan Sellers, Jenna Elfman, Julie Kavner, Brian Doyle-Murray, Ellen DeGeneres, Gilbert Gottfried, Garry Shandling, Jeff Doucette, Phyllis Katz, Archie Hahn III, Eddie Frierson, Paul Reubens, Douglas Shamburger, Erik Todd Dellums, Royce D. Applegate, Chad Einbinder, Hamilton Camp, Kerrigan Mahan, Jonathan Lipnicki, James F. Dean, Tom Towles",20th Century Fox,42.0,52.0,35.0,873786.0
866,28563,6908480,/m/0gwk5d,The Mysteries of Pittsburgh,2009,,95.0,['English Language'],['United States of America'],"['LGBT', 'Romantic comedy', 'Indie', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'Film adaptation', 'Coming of age', 'Romance Film']",Rawson Marshall Thurber,Rawson Marshall Thurber,"Jon Foster, Peter Sarsgaard, Sienna Miller, Nick Nolte, Mena Suvari, Rawson Marshall Thurber, Omid Abtahi, Keith Michael Gregory",MOP Productions,12.0,42.0,23.0,2388.0
867,28628,22713372,/m/05zrdxt,The Skeptic,2009,,89.0,['English Language'],['United States of America'],"['Thriller', 'Horror', 'Suspense', 'Supernatural']",Tennyson Bardwell,Tennyson Bardwell,"Tim Daly, Tom Arnold, Zoe Saldana, Andrea Roth, Edward Herrmann, Robert Prosky, Bruce Altman, LJ Foley",IFC Films,8.0,12.0,27.0,10246.0
868,28680,34361583,/m/0h_csjp,Madea's Witness Protection,2012,65653242.0,114.0,['English Language'],['United States of America'],['Comedy'],Tyler Perry,Tyler Perry,"Tyler Perry, Eugene Levy, Romeo Miller, Denise Richards, Doris Roberts, Devan Leos, Tom Arnold, Danielle Campbell, John Amos, Marla Gibbs, Shayne Anderson, Dean Balkwill, Nelson Bonilla, Frank Brennan, Eric Brooks, Jonny Clemson, Daniel Brule, John Paul George, Meg Gillentine, Jeff Joslin, Andy Koehler, Arin Logan, Eaddy Mays, Shane Partlow, Wanda Smith",Lionsgate Films,19.0,37.0,66.0,175908.0
869,28705,2363899,/m/076q52,Son of the Pink Panther,1993,,93.0,['English Language'],"['United States of America', 'Italy']","['Parody', 'Comedy', 'World cinema', 'Slapstick']",Blake Edwards,"Steve Sunshine, Blake Edwards, Madeline Sunshine, Steven Sunshine","Roberto Benigni, Herbert Lom, Claudia Cardinale, Debrah Farentino, Jennifer Edwards, Robert Davi, Anton Rodgers, Burt Kwouk, Nicoletta Braschi, Shabana Azmi, Noel Davis, Nancy Klopper, Mark Schneider, Mike Starr, Savant Tanney, Kenny Spalding, Graham Stark, Oliver Cotton, Aharon Ipalé, Natasha Pavlova, Henry Goodman, Dermot Crowley, Sputare Tanney, Liz Smith, Nadim Sawalha, Joe James, Jon Paul Morgan, Andrew Hawkins, Buddy Uzzaman, Jacinta Mulcahy, Steven Crossley, Bill Wallis, John Francis",MGM,6.0,34.0,19.0,5281.0
870,28713,240371,/m/01jw6z,Private Benjamin,1980,69847348.0,109.0,['English Language'],['United States of America'],"['Parody', 'Comedy-drama', 'Satire', 'Drama', 'Comedy', 'Feminist Film']",Howard Zieff,"Nancy Meyers, Harvey Miller, Charles Shyer","Goldie Hawn, Eileen Brennan, Armand Assante, Sam Wanamaker, Harry Dean Stanton, Robert Webber, Albert Brooks, Barbara Barrie, Mary Kay Place, Alan Oppenheimer, Estelle Marlow, Gretchen Wyler, Sally Kirkland, Maxine Stuart, Estelle Marlov, Everett Covin, Robert Hanley, Lee Wallace, James Dybas, Lillian Adams, Sandy Weintraub, Tim Haldeman, Kopi Sotiropulos, Stu Nahan, J.P. Bumstead, Hal Williams, Toni Kalem, Damita Jo Freeman, Alston Ahern, P.J. Soles, Craig T. Nelson, James Barnett, Raymond Oliver, Robin Hoff, Danny Wells, Keone Young, Ed Lewis, Paul Marin, Carrol Davis Carson, Mimi Maynard, Clay Wright, Richard Herd, Alice Hirson, Wil Albert, Denise Halma, Lilyan Chauvin, Elie Liardet, Allison Caine",Warner Bros. Pictures,82.0,33.0,60.0,35939.0
871,28821,4558294,/m/0c8tkt,The Blues Brothers,1980,115229890.0,133.0,['English Language'],['United States of America'],"['Action/Adventure', 'Buddy film', 'Absurdism', 'Screwball comedy', 'Action Comedy', 'Cult', 'Musical', 'Adventure Comedy', 'Comedy', 'Action']",John Landis,"Dan Aykroyd, John Landis","John Belushi, Dan Aykroyd, James Brown (II), Cab Calloway, Carrie Fisher, Ray Charles, Aretha Franklin, Henry Gibson, John Candy, Murphy Dunne, Steve Cropper, Donald ""Duck"" Dunn, Willie Hall, Tom Malone, Lou Marini, Matt Murphy, Frank Oz, Kathleen Freeman, Armand Cerani, Steven Williams, Charles Napier, Steve Lawrence, Twiggy, Steven Spielberg, James B. Brown",Universal Pictures,84.0,58.0,92.0,256003.0
872,28860,156641,/m/014knw,Stalag 17,1953,3300000.0,120.0,['English Language'],['United States of America'],"['Ensemble Film', 'Comedy-drama', 'Black-and-white', 'Drama', 'Comedy', 'War film']",Billy Wilder,"Billy Wilder, Edwin Blum","William Holden, Peter Graves, Robert Strauss, Harvey Lembeck, Don Taylor, Otto Preminger, Richard Erdman, Neville Brand, Sig Rumann, Michael Moore (III), Peter Baldwin, Robinson Stone, Robert Shawley, William Pierson, Gil Stratton, Jay Lawrence, Erwin Kalser, Edmund Trczinski, Harald Maresch, Carl Forcht, Alexander J. Wells, Bob Templeton, Paul Salata, Jerry Singer, Bill Sheehan, Richard P. Beedle, Warren Sortomme, Robin Morse, Ralph Jarvis Caston, James R. Scott, Billy Sheehan, Harry Reardon, Wesley Ling, John Patrick Veitch, John Mitchum, William McLean, Tommy Cook, Janice Carroll, Yvette Eaton, Alla Gursky, Olga Lebedeff, Mara Sondakoff, Ian Ross Gould, Mike Bush, Joe Ploski, Max Willenz, Peter Leeds, Herbert Street, Rodric Beckham, Jerry Gerber, William Mulcahy, Russell Grower, Cameron Donald, James Dabney Jr., Ralph Gaston, Svetlana McLee, Lyda Vashkulat, Audrey Strauss, Ross Bagdasarian Sr., John Patrick Veitch",Paramount Home Video,97.0,36.0,93.0,13201.0
873,28896,103018,/m/0p_rk,Heaven Can Wait,1978,81640278.0,101.0,['English Language'],['United States of America'],"['Romantic comedy', 'Remake', 'Sports', 'Fantasy', 'Comedy', 'Romance Film', 'New Hollywood']","Warren Beatty, Buck Henry","Elaine May, Warren Beatty","Warren Beatty, Julie Christie, James Mason, Jack Warden, Dyan Cannon, Charles Grodin, Buck Henry, Vincent Gardenia, Joseph Maher, Hamilton Camp, Arthur Malet, Stephanie Faracy, Jeannie Linero, Harry D.K. Wong, George J. Manos, Larry Block, Frank Campanella, Bill Sorrells, Dick Enberg, Dolph Sweet, R.G. Armstrong, Ed Peck, John Randolph, Richard O'Brien (II), Joseph F. Makel, Will Hare, Lee Weaver, Roger Bowen, Keene Curtis, William Larsen, Morgan Farley, William Bogert, Robert E. Leonard, Joel Marston, Earl Montgomery Jr., Robert C. Stevens, Bennie Massa, Peter Tomarken, Lisa Blake Richards, William Sylvester, Charlie Charles, Penelope Milford, Nick Outin, Jerry Scanlan, Jim Boeke, Marvin Fleming, Deacon Jones, Les Josephson, Jack T. Snow, Allison Caine, Charlie Cowan, Joe Corolla, Bryant Gumbel, Jim Healy, Curt Gowdy, Al DeRogatis, Elliott Reid, Byron Webster, Garrett Craig, Paul D'Amato, Robert Fortier",Paramount Home Video,88.0,41.0,68.0,13232.0
874,28933,20937181,/m/05b4__s,Timber Falls,2007,680299.0,100.0,['English Language'],['United States of America'],"['Cult', 'Horror', 'Suspense', 'Slasher']",Tony Giglio,"Dan Kay, Tony Giglio, Daniel Kay","Josh Randall, Brianna Brown, Nick Searcy, Beth Broderick, Sascha Rosemann, T.W. Leshner, Branden R. Morgan, Ryan McGee, Carl Bressler, Debbie Jaffe, Ryan Wiik",Slowhand Cinema,38.0,8.0,28.0,2347.0
875,28980,2731003,/m/07_l0f,Powder,1995,30862156.0,111.0,['English Language'],['United States of America'],"['Albino bias', 'Fantasy', 'Drama']",Victor Salva,Victor Salva,"Sean Patrick Flanery, Mary Steenburgen, Lance Henriksen, Jeff Goldblum, Brandon Smith (I), Bradford Tatum, Susan Tyrrell, Missy Crider, Ray Wise, Esteban Powell, Reed Frerichs, Chad Cox, Joe Marchman, Philip Maurice Hayes, Dannete McMann, Tom Tarantini, Woody Watson, Alex Allen Morris, Brady Coleman, Barry Berfield, Paula Engel, Meason Wiley, Dee Macaluso, James Houston, Bill Grant-Minchen, Bonnie Gallup",Hollywood Pictures,50.0,20.0,69.0,51699.0
876,29062,1688593,/m/05njxh,Urban Legends: Final Cut,2000,38574362.0,98.0,['English Language'],['United States of America'],"['Cult', 'Horror', 'Slasher', 'Teen']",John Ottman,"Paul Harris Boardman, Scott Derrickson","Jennifer Morrison, Joseph Lawrence, Matthew Davis, Hart Bochner, Loretta Devine, Eva Mendes, Joey Lawrence, Anson Mount, Jessica Cauffiel, Anthony Anderson, Michael Bacall, Marco Hofschneider, Derek Aasland, Rebecca Gayheart, Jacinda Barrett, Peter Millard, Chas Lawther, Chuck Campbell, Yani Gellman, Jeannette Sousa, Rory Feore, Shauna Black, Leland Tilden, Joel Gorson, David Cook (XXII), Bianca Muller, Jenny Kim, Nicole Crozier, Pat Kelly, Stephanie Moore, Kevin Hare, David Sparrow, Clare Martina Preuss",Sony Pictures Home Entertainment,9.0,82.0,20.0,49522.0
877,29072,452767,/m/02vzxsf,Underworld,2003,95708457.0,121.0,['English Language'],"['United States of America', 'Hungary', 'United Kingdom', 'Germany']","['Thriller', 'Horror', 'Werewolf fiction', 'Action/Adventure', 'Fantasy', 'Action']",Len Wiseman,"Danny McBride (IV), Len Wiseman, Kevin Grevioux","Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles, Robby Gee, Robbie Gee, Wentworth Miller, Kevin Grevioux, Richard Cetrone, Zita Görög, Dennis J. Kozeluh, Scott McElroy, Todd Schneider, Sandor Bolla, Hank Amos, Zsuzsa Barsi, Rich Cetrone, Mike Mukatis, Sándor Boros, János Oláh, Andreas Patton, Danny McBride (IV), Jazmin Damak, Atilla Pinke, Judit Kuchta, Vanessa Nagy, Ildiko Kovacs, Brian Steele, Kurt Carley",Sony Screen Gems,31.0,162.0,79.0,495941.0
878,29080,770348,/m/03b24y,Blue Sky,1994,3359465.0,101.0,['English Language'],['United States of America'],"['Romantic drama', 'Period piece', 'Marriage Drama', 'Drama', 'Romance Film']",Tony Richardson,"Rama Laurie Stagner, Arlene Sarner, Jerry Leichtling","Jessica Lange, Tommy Lee Jones, Powers Boothe, Carrie Snodgress, Amy Locane, Chris O'Donnell, Mitchell Ryan, Dale Dye, Tim Scott, Annie Ross, Anna Klemp, Timothy Scott, Anthony Rene Jones, Jay H. Seidl, David Bradford, Matt Battaglia, Rene Rokk, Fred Scasso, Victor Iemolo, Bronson Page, Raphael Rey Gomez, Samy G. Bauso, John F. Fedak, Michael McClendon, Harriet Courtney Sumner, Shannon Laramore, Ray Sergeant, Merlin Marston, Yvette Smedley, Phyllis Timbes, Libby Whittemore, Clarinda Ross, Donna Biscoe, Billy Lawson, Joseph Wilkins, Carl C. Morgan II, Dion Anderson, Richard Jones, Art Wheeler, Sharlene Ross, David Lee Lane, Ed Lee Corbin, Gary Bullock, Angela Paton, Babs George, Rod Masterson, Sean McGraw, David Dwyer, Geoff McKnight, Whitt Brantley",Orion Home Video,79.0,24.0,58.0,3836.0
879,29124,16983442,/m/0414gmx,Where's Marlowe?,1999,,99.0,['English Language'],['United States of America'],"['Thriller', 'Mystery', 'Mockumentary', 'Comedy', 'Crime Thriller']",Daniel Pyne,"Daniel Pyne, John Mankiewicz","Miguel Ferrer, John Livingston, Yasiin Bey, John Slattery, Dante Beze, Clayton Rohner, Elizabeth Schofield, Giancarlo Esposito, Barbara Howard, Kirk Baltz, Miguel Sandoval, Brent Jennings, Bill McKinney, Heather McComb, Wendy Crewson, Joyce Guy, Allison Dean, Danny Ferrington, Brent Roam, Eyde Belasco, Miranda Gibson, Don Keith Opper, John Lavachiellei, Aaron Lipstadt, John Mankiewicz, Patrick Egan, Lisa Jane Persky, Nicki Micheaux, Kamala Dawson, Wendy Benson, Sarabeth Tucek, Olivia Rosewood, Wilhelm, John Del Regno, David Newsom, Maury Ginsberg, David Vegh, Erich Anderson, Alexandra Chun, John Hawkes, Julia Kruis, David Richard, Ken Jenkins, Elizabeth Ruscio, Matt Roth, Kate Goehring, Connie Sawyer, Adam Setliff",Paramount,17.0,12.0,53.0,550.0
880,29129,2581392,/m/07phbc,The Pink Panther,2006,158851357.0,93.0,['English Language'],"['France', 'United States of America', 'Czech Republic']","['Crime Fiction', 'Action/Adventure', 'Mystery', 'Comedy', 'Reboot', 'Family Film', 'Action', 'Slapstick']",Shawn Levy,"Len Blum, Shawn Levy, Steve Martin","Steve Martin, Kevin Kline, Beyoncé Knowles, Jean Reno, Emily Mortimer, Henry Czerny, Kristin Chenoweth, Roger Rees, Delphine Chaneac, William Abadie, Scott Adkins, Chad Gabriel, David Beckham, Mareva Galanter, Phillip Goodwin, Stephen Rowe, Daniel Sauli, Henri Garcin",MGM,21.0,142.0,51.0,516683.0
881,29137,920468,/m/03q05j,Sister Act,1992,231605150.0,100.0,['English Language'],['United States of America'],"['Crime Fiction', 'Musical', 'Comedy of Errors', 'Comedy']",Emile Ardolino,"Joseph Howard, Nancy Meyers, Paul Rudnick, Carrie Fisher, Jim Cash, Robert Harling, Jack Epps, Jr.","Whoopi Goldberg, Maggie Smith, Harvey Keitel, Kathy Najimy, Wendy Makkena, Mary Wickes, Bill Nunn, Robert Miranda, Richard Portnow, Rose Parenti, Joseph Maher, Jim Beaver, Purdence Wright Holmes, Jenifer Lewis, Charlotte Crossley, A.J. Johnson, Ellen Albertini Dow, Carmen Zapata, Pat Crawford Brown, Prudence Wright Holmes, Georgia Creighton, Susan Johnson, Lynda Gordon, Judy Taylor, Ruth Kobart, Susan Browning, Darlene Koldenhoven, Sheri Izzard, Edith Diaz, Beth Fowler, Desreta Jackson, Zatella Beatty, Skye Bassett, Lois DeBanzie, Isis Carmen Jones, Max Grodénchik, Joe Medalis, Michael Durrell, Robert Jimenez, Toni Kalem, Kevin Bourland, David Boyce, Timothy J. Pedegana, Terry Wills, David M. Parker, Nicky Katt, Mike Jolly, Jeremy Roberts, Eugene Greytak, Guy Boyd",Buena Vista,74.0,27.0,65.0,726312.0
882,29142,690868,/m/033385,Rio Grande,1950,2250000.0,105.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western', 'Black-and-white']",John Ford,"James Kevin McGuinness, James K. McGuinness","John Wayne, Maureen O'Hara, Ben Johnson, Harry Carey Jr., Victor McLaglen, Chill Wills, J. Carroll Naish, Grant Withers, Peter Ortiz, Gaylord ""Steve"" Pendleton, Karolyn Grimes, Alberto Morin, Claude Jarman Jr., Stan Jones, Fred Kennedy, Sunset Carson, Chuck Roberson, Bobby Clark, Ken Curtis, Adam Henry Garcia, Hugh Farr, Carl Farr, Lee Morgan, Lloyd Perryman, Shug Fisher, Tommy Doss, Jack Pennick, Cliff Lyons, Patrick Wayne",Artisan Entertainment,77.0,13.0,70.0,8762.0
883,29154,21174,/m/059p3,Nanook of the North,1922,,79.0,['English Language'],['United States of America'],"['History', 'Anthropology', 'Black-and-white', 'Documentary']",Robert J. Flaherty,Robert J. Flaherty,Berry Kroeger,,100.0,30.0,80.0,4871.0
884,29205,6312980,/m/0g0mcf,Brewster's Millions,1985,45833132.0,97.0,['English Language'],['United States of America'],"['Screwball comedy', 'Comedy']",Walter Hill,"Herschel Weingrod, Timothy Harris","Richard Pryor, John Candy, Lonette McKee, Stephen Collins, Jerry Orbach, Pat Hingle, Tovah Feldshuh, Hume Cronyn, Joe Grifasi, Peter Jason, David White, Jerome Dempsey, Byron Keith Minns, David Wohl, Ji-Tu Cumbuka, Carmine Caridi, Duan Ji-Shun, Yakov Smirnoff, Judith Holstra, Rick Moranis, Gloria Charles, Milt [Lewis] Kogan, Yana Nirvana, Grand L. Bush, Conrad Janis, Rosetta Le Noire, Joseph Leon, Robert Ellenstein, Reni Santoni, Alan Autry, Joe Medalis, Malachy McCourt, Roger Til, Allan Miller, Mike Hagerty, Kelly Yaegermann, Regina Hooks, Allan Graf, Jeff Mylett, Richard Hochberg, Archie Hahn III, R.D. Call, Frank Slaten, Lin Shaye, Wesley Thompson, Strawn Bovee, Matt Landers, Kip Waldo, Shaka Cumbuka, Brad Sanders, Bill McConnell, Margot Rose, Joel Weiss, Candee Jennings, Gary Alexander, Joey Banks, Joe Banks, Steve Benson, Steven Benson, Mike Paciorek, Ken Medlock, Robbie T. Robinson, Ken Knighten, Hank Robinson, Art Reichle, Bennie E. Dobbins",MCA Universal Home Video,35.0,23.0,55.0,38516.0
885,29206,882119,/m/03lfd_,Napoleon Dynamite,2004,46118099.0,86.0,['English Language'],['United States of America'],"['Indie', 'Absurdism', 'Cult', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Teen']",Jared Hess,"Jared Hess, Jerusha Hess","Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez, Diedrich Bader, Tina Majorino, Sandy Martin, Haylie Duff, Trevor Snarr, Shondrella Avery, Bracken Johnson, Carmen Brady, Ellen Dubin, J.C. Cunningham, James Smooth, Brian Petersen, Brett Taylor, Tom Lefler, Elizabeth Miklavcic, Scott Thomas, Loria Badelli, Emily Kennard, Jamen Gunnell, Nanette Young, Walter Platz, Nano De Silva, Arturo De Silva, Pat Donahue, Dale Critchlow, Tom Adams, Eldean Holliday, Arlando Larsen, Mary Heers, T.J. Adams, Jake Visser, Brady Stokes, Thedora Peeterborg, Becky Demke, Julia Y. Ruell",Fox Searchlight Pictures,71.0,174.0,74.0,789850.0
886,29244,1367574,/m/04x4v5,Ghosts of Mississippi,1996,13323144.0,130.0,['English Language'],['United States of America'],"['Crime Fiction', 'Historical fiction', 'Drama', 'Docudrama', 'Courtroom Drama']",Rob Reiner,Lewis Colick,"James Woods, Alec Baldwin, Whoopi Goldberg, Craig T. Nelson, Susanna Thompson, Lucas Black, William H. Macy, Lloyd ""Benny"" Bennett, James Pickens Jr., Virginia Madsen, Wayne Rogers, Bill Cobbs, Joseph Tello, Alexa PenaVega, Michael O'Keefe, Darrell Evers, Yolanda King, James Van Evers, Jerry Levine, Sky Rumph, Margo Martindale, Zoaunne LeRoy, Bill Smitrovich, G. Ja'ron Henderson, Rae'Ven Larrymore Kelly, Curtis Tyler Haynes, Richard Riehle, Jim Harley, Bonnie Bartlett, Brock Peters, Finn Carter, William Howard, Diane Ladd, Andy Romano, Richard Stahl, David Carpenter, Jordan Lund, Jerry Hardin, Ramon Bieri, C.R. Doan, Katherine Wood, L. D. Bass Sr., Monty Thomas, Eliott Keener, Brandon McKennah, William L. Donald, Jim Stallings, Michael Strasser, Diana Bellamy, Rance Howard, Thomas Kopache, Frank Hoyt Taylor, Sarah Hunley, Marilynn Lovell, Jill Andre, Leigh French, James Marshall Wolchok, John A. Horhn, Spencer Garrett, Fenton Lawless, David Armstrong, Michael Hewes, James Homer Best, Thom Barry, Louis E. Armstrong, Ed Bryson, Maggie Wade, Jane Jenkins, Keanan K. Evers, Nicole Evers-Everette, Dijon S. Williams, Tracey Costello",Sony Pictures Home Entertainment,43.0,30.0,62.0,8668.0
887,29245,919546,/m/03pyd6,Exorcist: The Beginning,2004,78000586.0,114.0,['English Language'],['United States of America'],"['Cult', 'Period piece', 'Horror', 'Psychological thriller', 'Supernatural']",Renny Harlin,"Alexi Hawley, Renny Harlin","Stellan Skarsgård, James D'Arcy, Izabella Scorupco, Remy Sweeney, Julian Wadham, Andrew French, Ralph Brown, Ben Cross, David Bradley, Alan Ford, Antonie Kamerling, Eddie Osei, Israel Aduramo, Patrick O'Kane, Joseph James Bellamy, Cecilia Amati, Matti Ristinen, Lidia Darly, James Paparella, Silvio Jimenez Hernandez, Yemi Goodman Ajibade, Michel Leroy, John Sesay, Sayoh Lahai, Alessandro Casula, Roberto Purvis",Warner Bros. Pictures,10.0,134.0,27.0,80465.0
888,29268,1367581,/m/04x4vj,A Civil Action,1998,112215759.0,112.0,['English Language'],['United States of America'],"['Drama', 'Docudrama', 'Courtroom Drama']",Steven Zaillian,Steven Zaillian,"John Travolta, Robert Duvall, Stephen Fry, James Gandolfini, Dan Hedaya, Zeljko Ivanek, John Lithgow, William H. Macy, Kathleen Quinlan, Tony Shalhoub, Bruce Norris, Kathy Bates, Sydney Pollack, Mary Mara, David Thornton, Ned Eisenberg, Peter Jacobson, Margot Rose, Daniel von Bargen, Caroline Carrigan, Paul Desmond, Michael P. Byrne, Tracy Miller, Paul Hewitt, Clayton Landey, Paul Ben-Victor, Elizabeth Burnette, Alan Wilder, Michael Byrne, Gregg Joseph Monk, Harout Beshlian, Josh Pais, Haskell V. Anderson III, Kaiulani Lee, Howie Carr, Denise Dowse, Pearline Fergerson, Scott Weintraub, Robert Cicchini, Christopher Stevenson, Kevin Fry, Brian Turk, Denise Y. Dowse, Rikki Klieman, David Barrett, Ryan Janis, Rob McElhenney, Mike Biase, Richard Calnan, Gene Wolande, Sam Travolta, Gregg Shawzin, Juli Donald, Sayda Alan, Catherine Leahan, Bruce Holman, John La Fayette, Charles Levin, Byron Jennings, Jay Patterson, Charlie Stavola",Touchstone,61.0,70.0,55.0,21466.0
889,29274,163388,/m/015qcv,American Movie,1999,,107.0,['English Language'],['United States of America'],"['Biography', 'Indie', 'Film', 'Media Studies', 'Comedy', 'Documentary']",Chris Smith,,"Mark Borchardt, Mike Schank, Dean Allen Spunt, Tom Beach, Uncle Bill, Bill Borchardt, Joan Petrie, Robert Richard Jorge, Tim Schimmels, Matt Weisman, Bill Borchardt, Monica Borchardt, Cliff Borchardt, Chris Borchardt, Alex Borchardt, Ken Keen",Sony Pictures Classics,94.0,49.0,90.0,12489.0
890,29283,4396698,/m/0b__vn,Deal of the Century,1983,10369581.0,99.0,['English Language'],['United States of America'],"['Parody', 'Satire', 'Comedy']",William Friedkin,"William Friedkin, Paul Brickman, Robert Garland","Chevy Chase, Sigourney Weaver, Gregory Hines, Vince Edwards, William Marquez, Eduardo Ricard, Richard Herd, Graham Jarvis, Wallace Shawn, Randi Brooks, Nancy Klopper, Ebbe Roe Smith, Richard Libertini, J.W. Smith, Carmen Moreno, Charles Levin, Wilfredo Hernandez, Pepe Serna, Maurice Marsac, Miguel Pinero, Robert Cornthwaite, David Haskell, Alex Colon, Joe Ross, Jonathan Terry, Gwil Richards, Kelly Lange, Ken Letner, Tony Plana, Betty Cole, John Hancock, Helen Martin, Eddie Hice, Ray Manzarek, David Hall, James Staley, Stephen Keep, Louis Giambalvo, Robert Alan Browne, Michael Yama, Judith Baldwin, Jan McGill, Frank Lugo, Loyda Ramos, John Stinson, John Reilly",WARNER BROTHERS PICTURES,11.0,9.0,17.0,533.0
891,29287,30873695,/m/04nkm_,The Exorcist III,1990,39024251.0,110.0,['English Language'],['United States of America'],"['Cult', 'Horror', 'Psychological thriller', 'Supernatural']",William Peter Blatty,William Peter Blatty,"George C. Scott, Ed Flanders, Brad Dourif, Jason Miller, Nicol Williamson, Scott Wilson, Nancy Fish, George DiCenzo, Don Gordon, Lee Richardson, Grand L. Bush, Mary Jackson, Viveca Lindfors, Ken Lerner, Tracy Thorne, Barbara Baxley, Zohra Lampert, Harry Carey Jr., Sherrie Wills, Edward Lynch, Cilfford David, Alexander Zuckerman, Lois Foraker, Tyra Ferrell, James Burgess, Kevin Corrigan, Peggy Alston, Fr. John Durkin, Bobby Deren, Jan Neuberger, Alexis Chieffet, Debra Port, Walt MacPherson, David Dwyer, Daniel Epper, William Preston Robertson, Chuck Kinlaw, Demetrios Pappageorge, Nina Hansen, John A. Coe, Samuel L. Jackson, Jan Smook, Amelia Campbell, Cherie Baron, Larry King, C. Everett Koop, Patrick Ewing",WARNER BROTHERS PICTURES,59.0,41.0,55.0,34079.0
892,29299,33276254,/m/0gffmn8,The Expendables 2,2012,289400000.0,103.0,['English Language'],['United States of America'],['Action'],Simon West,"Richard Wenk, Sylvester Stallone","Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Chuck Norris, Terry Crews, Randy Couture, Liam Hemsworth, Scott Adkins, Nan Yu, Jean-Claude Van Damme, Bruce Willis, Arnold Schwarzenegger, Amanda Ooms, Charisma Carpenter, Nikolette Noel",Lionsgate,68.0,130.0,67.0,315290.0
